Doc_Index,Title,Dominant_Topic,Dominant_Prob,Topic_0_Prob,Topic_1_Prob,Topic_2_Prob,Topic_3_Prob,Topic_4_Prob,Topic_5_Prob,Topic_6_Prob,Topic_7_Prob,Topic_8_Prob,Topic_9_Prob
34,SOCIAL CAPITAL THROUGH NETWORKS: THE CASE OF UNIVERSITY SPIN-OFF FIRMS IN DIFFERENT STAGES,2,0.9913,0.001,0.001,0.9913,0.001,0.001,0.001,0.001,0.001,0.001,0.001
35,Creating university spin-offs: A science-based design perspective,0,0.5998,0.5998,0.0005,0.0005,0.0005,0.0005,0.3959,0.0005,0.0005,0.0005,0.0005
36,BLUE OCEANS STRATEGY IN CREATING A UNIVERSITY SPIN-OFF: AN EXPLORATORY CASE,5,0.5123,0.4789,0.0011,0.0011,0.0011,0.0011,0.5123,0.0011,0.0011,0.0011,0.0011
37,Assessment of proposals for new technology ventures in the UK: characteristics of university spin-of,5,0.7028,0.2863,0.0014,0.0014,0.0014,0.0014,0.7028,0.0014,0.0014,0.0014,0.0014
38,Influence of Informal Institutions in Promoting University Spin-offs,0,0.8048,0.8048,0.0015,0.1234,0.0015,0.0015,0.0616,0.0015,0.0015,0.0015,0.0015
40,Spanish university spin-offs: Economic-financial analysis and factors that condition its turnover,5,0.5329,0.0033,0.0033,0.0033,0.4404,0.0033,0.5329,0.0033,0.0033,0.0033,0.0033
44,Evolution of Innovation Network Governance Mode from Analysis of University Spin-Off Companies' Grow,5,0.548,0.0013,0.0013,0.2327,0.0947,0.0013,0.548,0.0013,0.0013,0.1166,0.0013
46,"Entrepreneurial Origin, Technological Knowledge, and the Growth of Spin-Off Companies",5,0.99,0.0011,0.0011,0.0011,0.0011,0.0011,0.99,0.0011,0.0011,0.0011,0.0011
49,Success factors of university-spin-offs: Regional government support programs versus regional enviro,5,0.5921,0.3981,0.0012,0.0012,0.0012,0.0012,0.5921,0.0012,0.0012,0.0012,0.0012
50,Rethinking the Resources and Responsibilities of University Spin-Offs: Critical Factors in Times of ,5,0.5499,0.4435,0.0008,0.0008,0.0008,0.0008,0.5499,0.0008,0.0008,0.0008,0.0008
52,Creating university spin-offs: A science-based design perspective,0,0.6014,0.6014,0.0005,0.0005,0.0005,0.0005,0.3943,0.0005,0.0005,0.0005,0.0005
53,University spin-offs and their environment,5,0.6049,0.3815,0.0017,0.0017,0.0017,0.0017,0.6049,0.0017,0.0017,0.0017,0.0017
54,Analysis of the survival determinants of university spin-offs in a cross-national sample,3,0.9082,0.0013,0.0013,0.0013,0.9082,0.0013,0.0811,0.0013,0.0013,0.0013,0.0013
55,"The relationship between Entrepreneurial Orientation, Market Orientation and Performance in Universi",3,0.9833,0.0019,0.0019,0.0019,0.9833,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019
56,Socio-cultural circumstances to establish university spin-off companies,0,0.7053,0.7053,0.0023,0.0023,0.0023,0.0023,0.2765,0.0023,0.0023,0.0023,0.0023
57,Characterization of technology-based university spin-offs: the case of a public university in the st,5,0.5502,0.4411,0.0011,0.0011,0.0011,0.0011,0.5502,0.0011,0.0011,0.0011,0.0011
58,KNOWLEDGE SOURCES IN FIRM INNOVATION PROCESSES: THE CASE OF UNIVERSITY SPIN-OFFS IN ANDALUSIA,5,0.6539,0.3271,0.0024,0.0024,0.0024,0.0024,0.6539,0.0024,0.0024,0.0024,0.0024
59,University spin-off s performance: Capabilities and networks of founding teams at creation phase,3,0.7123,0.0015,0.0015,0.0571,0.7123,0.0015,0.0015,0.2202,0.0015,0.0015,0.0015
61,Can a magic recipe foster university spin-off creation?,5,0.9898,0.0011,0.0011,0.0011,0.0011,0.0011,0.9898,0.0011,0.0011,0.0011,0.0011
62,Factors affecting the creation of university spin-offs: A multilevel analysis from the literature,0,0.7309,0.7309,0.0018,0.0018,0.0018,0.0018,0.2546,0.0018,0.0018,0.0018,0.0018
64,Financial performance studies of university spin-off companies (USOs) in the West Midlands,3,0.9836,0.0018,0.0018,0.0018,0.9836,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018
65,Beyond the good and the right: Rethinking the ethics of academic entrepreneurship from a relational ,0,0.792,0.792,0.0013,0.0013,0.0013,0.0013,0.1976,0.0013,0.0013,0.0013,0.0013
66,The role of knowledge spillovers on the university spin-offs innovation,3,0.9894,0.0012,0.0012,0.0012,0.9894,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012
68,Human resource management practices at university spin-offs,5,0.5307,0.425,0.0009,0.0009,0.038,0.0009,0.5307,0.0009,0.0009,0.0009,0.0009
69,Perception of Barriers in Setting up Student Spin-Offs,0,0.5858,0.5858,0.0008,0.0008,0.0008,0.0008,0.4076,0.0008,0.0008,0.0008,0.0008
70,Innovation ecosystems: a comparison between university spin-off firms and innovative start-ups. Evid,3,0.9941,0.0007,0.0007,0.0007,0.9941,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007
72,Individual and joint effect of patenting and exporting on the university spin-offs' survival,3,0.6967,0.0014,0.0014,0.0014,0.6967,0.0014,0.2781,0.0014,0.0014,0.0153,0.0014
73,Improve metropolitan competitiveness through innovation. The critical and moderating role of univers,3,0.9824,0.002,0.002,0.002,0.9824,0.002,0.002,0.002,0.002,0.002,0.002
74,Do university spin-offs manage earnings differently? Analysing the role of academic affiliation,5,0.5737,0.0017,0.0017,0.0017,0.413,0.0017,0.5737,0.0017,0.0017,0.0017,0.0017
75,"University Spin-Offs: A Case Study on Their Characterization, Challenges and Entrepreneurship Ecosys",0,0.6441,0.6441,0.0008,0.0008,0.0008,0.0008,0.3497,0.0008,0.0008,0.0008,0.0008
76,The influence of scientific prestige and peer effects on the intention to create university spin-off,5,0.8125,0.1721,0.0019,0.0019,0.0019,0.0019,0.8125,0.0019,0.0019,0.0019,0.0019
77,University spin-off firms' struggle with openness in early knowledge relationships: in search of ant,2,0.6057,0.0015,0.0015,0.6057,0.3822,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015
78,The transformation of network ties to develop entrepreneurial competencies for university spin-offs,2,0.5888,0.194,0.0018,0.5888,0.0018,0.0018,0.2045,0.0018,0.0018,0.0018,0.0018
79,Growth of KIBS and non-KIBS firms: evidences from university spin-offs,3,0.8216,0.0013,0.0013,0.0013,0.8216,0.0013,0.1678,0.0013,0.0013,0.0013,0.0013
80,Influence of the regional entrepreneurial ecosystem and its knowledge spillovers in developing succe,3,0.9864,0.0015,0.0015,0.0015,0.9864,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015
81,How Do University Spin-Offs Apply Stakeholder Management in Practice?,3,0.6314,0.3555,0.0016,0.0016,0.6314,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016
82,Entrepreneurship and University Spin-offs for (Academic) Employment?,0,0.7046,0.7046,0.0014,0.0014,0.0014,0.0014,0.2841,0.0014,0.0014,0.0014,0.0014
83,SOCIAL NETWORKS AND COMPETITIVE GROWTH OF UNIVERSITY SPIN-OFF FIRMS: A TALE OF TWO CONTRASTING CITIE,2,0.9859,0.0016,0.0016,0.9859,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016
84,The growth of university spin-offs: a dynamic panel data approach,3,0.9866,0.0015,0.0015,0.0015,0.9866,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015
85,Academic entrepreneurship: founding and governance determinants in university spin-off ventures,3,0.7214,0.2684,0.0013,0.0013,0.7214,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013
86,How university incubators may be overprotective and hindering the success of the young firm: Finding,3,0.9795,0.0023,0.0023,0.0023,0.9795,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023
87,The influence of venture capital and university ownership on spin-off's bank loan access: a synergis,3,0.6492,0.0014,0.0014,0.0014,0.6492,0.0014,0.3395,0.0014,0.0014,0.0014,0.0014
88,Entrepreneurship: an assessment,0,0.6071,0.6071,0.003,0.003,0.3687,0.003,0.003,0.003,0.003,0.003,0.003
90,A Business Strategy Formulation For Commercializing University-created Technology: A University Spin,5,0.6458,0.2366,0.0009,0.0009,0.1111,0.0009,0.6458,0.0009,0.0009,0.0009,0.0009
91,The interplay of external ties and internal knowledge base Implications for radical innovation in Ch,3,0.9917,0.0009,0.0009,0.0009,0.9917,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009
92,Knowledge conversion capability and the performance of corporate and university spin-offs,5,0.9836,0.0018,0.0018,0.0018,0.0018,0.0018,0.9836,0.0018,0.0018,0.0018,0.0018
93,The influence of Corporate Governance Structure on the Enterprise Performance of University Spin-Off,3,0.9898,0.0011,0.0011,0.0011,0.9898,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011
94,"ASP, The Art and Science of Practice: Academia-Industry Interfacing in Operations Research in Montre",5,0.5719,0.3783,0.0017,0.0382,0.0017,0.0017,0.5719,0.0017,0.0017,0.0017,0.0017
95,ENTREPRENEURSHIP EDUCATION AND UNIVERSITY SPIN OFF,0,0.7727,0.7727,0.0026,0.0026,0.0026,0.0026,0.2068,0.0026,0.0026,0.0026,0.0026
96,FUELING SPIN-OFFS: CASE STUDIES OF UNIVERSITY-BASED TECHNOLOGY START-UP FUNDING,5,0.9927,0.0008,0.0008,0.0008,0.0008,0.0008,0.9927,0.0008,0.0008,0.0008,0.0008
97,How Do University Spin-Offs Apply Stakeholder Management in Practice?,3,0.6143,0.3721,0.0017,0.0017,0.6143,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017
98,A nonlinear relationship between the team composition and performance in university spin-offs,3,0.6122,0.1165,0.0009,0.0009,0.6122,0.0009,0.2651,0.0009,0.0009,0.0009,0.0009
99,Investigating the association between universities' corporate governance structure and the knowledge,5,0.5119,0.0014,0.0014,0.0014,0.4767,0.0014,0.5119,0.0014,0.0014,0.0014,0.0014
100,"University spin-offs: entrepreneurship, growth and regional development INTRODUCTION",0,0.7151,0.7151,0.0014,0.0014,0.2737,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014
101,"Equity crowdfunding for university spin-offs: Unveiling the motivations, benefits, and risks related",5,0.8253,0.0552,0.0013,0.0013,0.1105,0.0013,0.8253,0.0013,0.0013,0.0013,0.0013
102,The impact of network capabilities and entrepreneurial orientation on university spin-off performanc,3,0.9868,0.0015,0.0015,0.0015,0.9868,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015
103,The role of venture capitalist to enhance the growth of Spanish and Italian university spin-offs,3,0.8664,0.0012,0.0012,0.0012,0.8664,0.0012,0.1242,0.0012,0.0012,0.0012,0.0012
104,Roles of entrepreneurial orientation and guanxi network with parent university in start-ups' perform,3,0.9836,0.0018,0.0018,0.0018,0.9836,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018
105,"How governments seek to bridge the financing gap for university spin-offs: proof-of-concept, pre-see",5,0.9904,0.0011,0.0011,0.0011,0.0011,0.0011,0.9904,0.0011,0.0011,0.0011,0.0011
106,"The innovative ecosystem of university spin-offs: spaces, agents and transfer networks in the region",5,0.4436,0.3404,0.0015,0.0015,0.2057,0.0015,0.4436,0.0015,0.0015,0.0015,0.0015
107,Why are some university researchers more likely to create spin-offs than others? Evidence from Canad,5,0.8906,0.0023,0.0023,0.0023,0.0912,0.0023,0.8906,0.0023,0.0023,0.0023,0.0023
108,Internationalization of Spin Off From the Perspective of Its Client Capital,0,0.3892,0.3892,0.0021,0.0021,0.2179,0.0021,0.3367,0.0021,0.0021,0.0438,0.0021
109,Entrepreneurial scales in the Italian academia context: a comparison between university spin-offs an,0,0.5107,0.5107,0.0018,0.0018,0.4753,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018
110,Knowledge relationships of university spin-off firms: Contrasting dynamics in global reach,5,0.7391,0.0009,0.0009,0.1276,0.0009,0.0009,0.7391,0.0009,0.0009,0.1266,0.0009
111,"Open innovation among university spin-off firms: what is in it for them, and what can cities do?",2,0.4371,0.0011,0.0011,0.4371,0.1655,0.0011,0.3899,0.0011,0.0011,0.0011,0.0011
112,Social Foundations of Regional Innovation and the Role of University Spin-Offs: The Case of Canada's,5,0.5934,0.0453,0.0014,0.1235,0.2297,0.0014,0.5934,0.0014,0.0014,0.0014,0.0014
113,A comparative study of the survival of university spin-off companies (USOs) in the post-industrial U,3,0.6142,0.3653,0.0026,0.0026,0.6142,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026
114,Oxfordshire biomedical university spin-offs: an evolving system,5,0.8035,0.0023,0.0023,0.0023,0.1779,0.0023,0.8035,0.0023,0.0023,0.0023,0.0023
115,Exploring product/service innovation process in UK: university spin-offs from practice-based lens,0,0.5834,0.5834,0.0014,0.0014,0.1578,0.0014,0.249,0.0014,0.0014,0.0014,0.0014
116,Academic entrepreneurship in South East Asia: an exploratory study of spin-offs in biotechnology fro,5,0.9901,0.0011,0.0011,0.0011,0.0011,0.0011,0.9901,0.0011,0.0011,0.0011,0.0011
117,Rapid response through the entrepreneurial capabilities of academic scientists,0,0.5073,0.5073,0.0056,0.0056,0.0056,0.0056,0.4483,0.0056,0.0056,0.0056,0.0056
118,Relational Capital in the Technology Sector: An International Strategic Model,0,0.419,0.419,0.0009,0.0009,0.3846,0.0009,0.1719,0.0009,0.0009,0.019,0.0009
119,Venture capital investment in university spin-offs: Evidence from an emerging economy,5,0.7539,0.0009,0.0009,0.0009,0.2387,0.0009,0.7539,0.0009,0.0009,0.0009,0.0009
120,Competing risk model for predicting stabilization period of university spin-off ventures,3,0.7457,0.0012,0.0012,0.0012,0.7457,0.0012,0.245,0.0012,0.0012,0.0012,0.0012
121,Spin-Off Venture Creation Competencies in Sri Lankan Universities: Entrepreneurial Orientation for I,5,0.7562,0.1578,0.0019,0.0019,0.0731,0.0019,0.7562,0.0019,0.0019,0.0019,0.0019
122,What drives investors' propensity to invest in university Spinoffs? An experiment on the role played,3,0.588,0.0017,0.0017,0.0017,0.588,0.0017,0.3982,0.0017,0.0017,0.0017,0.0017
123,Antecedents of Entrepreneurial Skills and Their Influence on the Entrepreneurial Intention of Academ,0,0.7658,0.7658,0.0012,0.0012,0.2248,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012
124,CAUSAL ALTERNATE PATHWAYS FOR HIGH PERFORMANCE. A STUDY OF UNIVERSITY SPIN-OFFS FROM POLAND,0,0.465,0.465,0.0006,0.0006,0.094,0.0006,0.4367,0.0006,0.0006,0.0006,0.0006
125,The Evolution of Entrepreneurial Competencies: A Longitudinal Study of University Spin-Off Venture E,5,0.6528,0.3355,0.0015,0.0015,0.0015,0.0015,0.6528,0.0015,0.0015,0.0015,0.0015
126,Unmasking intellectual capital from gender and nationality diversity on university spin-offs' boards,3,0.9931,0.0008,0.0008,0.0008,0.9931,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008
127,Harnessing University Entrepreneurship for Economic Growth: Factors of Success Among University Spin,5,0.4244,0.2413,0.0013,0.0013,0.325,0.0013,0.4244,0.0013,0.0013,0.0013,0.0013
128,Analyzing the Effects of Institutional-and Ecosystem-Level Variables on University Spin-Off Performa,3,0.5248,0.4611,0.0018,0.0018,0.5248,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018
129,CORPORATE GOVERNANCE: ASPECTS AND PROBLEMS IN UNIVERSITY SPIN-OFFS,5,0.6665,0.0018,0.0018,0.0018,0.3195,0.0018,0.6665,0.0018,0.0018,0.0018,0.0018
130,Entrepreneurial Risk-Taking in Sustainable Energy: University Spin-Off Firms and Market Introduction,5,0.9411,0.0008,0.0008,0.0525,0.0008,0.0008,0.9411,0.0008,0.0008,0.0008,0.0008
131,The emerging role of university spin-off companies in developing regional entrepreneurial university,0,0.7133,0.7133,0.0009,0.0009,0.2793,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009
132,Impact of technology transfer offices on university spin-off bankruptcy,3,0.5101,0.2328,0.0009,0.0009,0.5101,0.0009,0.2506,0.0009,0.0009,0.0009,0.0009
133,Interactions between university spin-offs and academia: a dynamic perspective,0,0.5508,0.5508,0.001,0.001,0.3739,0.001,0.0686,0.001,0.001,0.001,0.001
134,Spin-Up: A Comprehensive Program Aimed to Accelerate University Spin-Off Growth,0,0.4952,0.4952,0.0005,0.0005,0.2596,0.0005,0.228,0.0005,0.0005,0.014,0.0005
135,A recipe for USO success? Unravelling the micro-foundations of dynamic capability building to overco,3,0.8963,0.0966,0.0009,0.0009,0.8963,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009
136,A knowledge-based typology of university spin-offs in the context of regional economic development,5,0.9939,0.0007,0.0007,0.0007,0.0007,0.0007,0.9939,0.0007,0.0007,0.0007,0.0007
137,An exploratory study of new product development at small university spin-offs,5,0.628,0.2913,0.0014,0.0014,0.0705,0.0014,0.628,0.0014,0.0014,0.0014,0.0014
138,Making sense of diversity and reluctance: academic-industrial relations and intellectual property,5,0.4937,0.4203,0.0016,0.0141,0.0621,0.0016,0.4937,0.0016,0.0016,0.0016,0.0016
139,"University spin-offs: the past, the present, and the future",0,0.7571,0.7571,0.0012,0.0012,0.2332,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012
140,The effect of university and regional knowledge spillovers on firms' performance: an analysis of the,3,0.987,0.0014,0.0014,0.0014,0.987,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014
141,Sustainable university entrepreneurship: Revisiting firm growth patterns,3,0.983,0.0019,0.0019,0.0019,0.983,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019
142,Top management team heterogeneity and economic performance: a micro-foundations perspective of acade,3,0.8553,0.1377,0.0009,0.0009,0.8553,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009
143,Do exploration and exploitation in university research drive early-stage equity financing of univers,5,0.3439,0.3163,0.0006,0.0006,0.3355,0.0006,0.3439,0.0006,0.0006,0.0006,0.0006
144,Spin-Off Performance: Entrepreneurial Capabilities and Social Networks of the Founders in the Creati,3,0.8542,0.0015,0.0015,0.0737,0.8542,0.0015,0.0615,0.0015,0.0015,0.0015,0.0015
145,Characteristics and Outputs of University Spin-offs in the United Kingdom,5,0.4803,0.3202,0.0014,0.0014,0.1895,0.0014,0.4803,0.0014,0.0014,0.0014,0.0014
146,The influence of university departments on the evolution of entrepreneurial competencies in spin-off,5,0.8782,0.1141,0.001,0.001,0.001,0.001,0.8782,0.001,0.001,0.001,0.001
147,Transferring research from a university to the United Kingdom National Health Service: the implicati,0,0.6583,0.6583,0.0016,0.0016,0.0016,0.0016,0.3288,0.0016,0.0016,0.0016,0.0016
148,Academic Entrepreneurship - new age Dictum,0,0.6032,0.6032,0.0007,0.0007,0.0007,0.0007,0.3853,0.0007,0.0007,0.0066,0.0007
149,New tendency of innovation system in China - From the perspective of regional transition,5,0.8266,0.1669,0.0008,0.0008,0.0008,0.0008,0.8266,0.0008,0.0008,0.0008,0.0008
150,Innovation Managemente Practices in a technology-based company: A University Spin-off Case Study,0,0.7849,0.7849,0.0012,0.0012,0.0012,0.0012,0.2053,0.0012,0.0012,0.0012,0.0012
151,Responsible innovators: open networks on the way to sustainability transitions,5,0.4097,0.2053,0.0011,0.3771,0.0011,0.0011,0.4097,0.0011,0.0011,0.0011,0.0011
152,The Contribution of University Spin-Offs to the Competitive Advantage of Regions,3,0.5708,0.1956,0.0012,0.0012,0.5708,0.0012,0.2255,0.0012,0.0012,0.0012,0.0012
153,All that Glitters is Not Gold: the Surrogate Use of University Spin-Offs. Insights from Italy,5,0.504,0.4837,0.0015,0.0015,0.0015,0.0015,0.504,0.0015,0.0015,0.0015,0.0015
154,University spin-off policies and economic development in less successful regions: Learning from two ,0,0.506,0.506,0.0013,0.0013,0.4833,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013
155,University research and the creation of spin-offs: The Spanish case,5,0.7617,0.2298,0.0011,0.0011,0.0011,0.0011,0.7617,0.0011,0.0011,0.0011,0.0011
156,THE RELEVANCE OF MARKET ANALYSIS IN UNIVERSITY SPIN OFF CREATION: A CASE STUDY,0,0.6184,0.6184,0.0013,0.0013,0.1123,0.0013,0.2604,0.0013,0.0013,0.0013,0.0013
157,SPIN-UP - Creating an Entrepreneurship Coaching and Training Program for University Spin-Offs,0,0.6368,0.6368,0.0005,0.1018,0.2407,0.0005,0.0005,0.0005,0.0005,0.0176,0.0005
158,How university spin-offs differ in composition and interaction: a qualitative approach,5,0.6375,0.3508,0.0015,0.0015,0.0015,0.0015,0.6375,0.0015,0.0015,0.0015,0.0015
159,Re-thinking university spin-off: a critical literature review and a research agenda,0,0.7728,0.7728,0.0013,0.0013,0.0013,0.0013,0.2166,0.0013,0.0013,0.0013,0.0013
160,Assessment of University Spin-Off Company Competitiveness Based on Products Performance and Expert O,5,0.6544,0.2138,0.0013,0.0013,0.1,0.0013,0.6544,0.0241,0.0013,0.0013,0.0013
161,Newness and heritage in business networks: Case analysis of university spin-offs,3,0.9882,0.0013,0.0013,0.0013,0.9882,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013
162,Assessing the impact of the pandemic on digital spin-offs at universities: Theory and evidence from ,3,0.6133,0.2982,0.001,0.001,0.6133,0.001,0.0814,0.001,0.001,0.001,0.001
163,Academic Entrepreneurship: Commercialization of University Research and Entrepreneurship Education a,0,0.7797,0.7797,0.0011,0.0011,0.0011,0.0011,0.2113,0.0011,0.0011,0.0011,0.0011
164,Size and survival: An analysis of the university spin-offs,3,0.9898,0.0011,0.0011,0.0011,0.9898,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011
165,Influence of Applied Research Funding and Incubators on University Entrepreneurship: New Evidence Fr,5,0.9475,0.0008,0.0008,0.0008,0.046,0.0008,0.9475,0.0008,0.0008,0.0008,0.0008
166,Performance for academic and university Spin-Off: a systematic review,0,0.5083,0.5083,0.0009,0.0009,0.4847,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009
167,Methods for identifying and evaluating disruptive technologies in university spinoffs,5,0.8054,0.1865,0.001,0.001,0.001,0.001,0.8054,0.001,0.001,0.001,0.001
168,Examining the impact of university-industry collaborations on spin-off creation: Evidence from joint,5,0.9306,0.06,0.0012,0.0012,0.0012,0.0012,0.9306,0.0012,0.0012,0.0012,0.0012
169,USO Imprinting and Market Entry Timing: Exploring the Influence of University Ecosystems,5,0.4455,0.3152,0.0009,0.0009,0.2329,0.0009,0.4455,0.0009,0.0009,0.0009,0.0009
170,Knowledge and capabilities for products/services development: the UK spin-off firms context,0,0.4982,0.4982,0.0011,0.0011,0.2201,0.0011,0.2739,0.0011,0.0011,0.0011,0.0011
171,Gender differences in growth of Spanish university spin-offs,3,0.9943,0.0006,0.0006,0.0006,0.9943,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006
