Keyword,Z_Score,Recent_Avg_Freq,Historical_Avg_Freq,Total_Frequency,Is_Burst,Years_Active
MACHINE LEARNING,5.48,1.0,0.03,3,True,2
INNOVATIVENESS,5.48,1.0,0.03,3,True,2
EQUITY,5.48,1.0,0.03,3,True,3
INTRAPRENEURSHIP,5.48,1.0,0.03,3,True,2
BENEFITS,5.48,1.0,0.03,3,True,3
ENTREPRENEURIAL ACTIVITY,5.48,1.0,0.03,3,True,3
ENTREPRENEURIAL FINANCE,5.48,1.0,0.03,3,True,3
BUSINESS INNOVATION,5.48,1.0,0.03,3,True,3
TRENDS,5.48,1.0,0.03,3,True,2
ENTREPRENEURIAL BEHAVIOR,5.48,1.0,0.03,3,True,3
ENABLERS,5.48,1.0,0.03,3,True,3
WEB,5.48,1.0,0.03,3,True,3
RISK,5.48,1.0,0.03,3,True,3
RESOURCE-BASED THEORY,5.48,1.0,0.03,3,True,3
LIFE,5.48,1.0,0.03,3,True,3
STRATEGIC ORIENTATION,5.48,1.0,0.03,3,True,2
THEORY OF PLANNED BEHAVIOUR,5.48,1.0,0.03,3,True,2
ECONOMICS,5.48,1.0,0.03,3,True,3
SOCIAL COGNITIVE THEORY,5.48,1.0,0.03,3,True,2
SOCIAL MEDIA PLATFORMS,5.48,1.0,0.03,3,True,3
REGIONAL-DEVELOPMENT,5.48,1.0,0.03,3,True,3
ATTITUDES,5.48,1.0,0.03,3,True,3
BIBLIOMETRIC,5.48,1.0,0.03,3,True,2
GROUNDED THEORY,5.48,1.0,0.03,3,True,3
EXTERNAL ENABLERS,5.48,1.0,0.03,3,True,2
PLATFORM ECONOMY,5.48,1.0,0.03,3,True,2
MIXED EMBEDDEDNESS,5.48,1.0,0.03,3,True,2
RESEARCH-AND-DEVELOPMENT,5.48,1.0,0.03,3,True,2
ENTREPRENEURS,5.48,1.0,0.03,3,True,2
TECHNOLOGICAL CHANGE,5.48,1.0,0.03,3,True,3
RECOMBINATION,5.48,1.0,0.03,3,True,3
STRATEGIC ORIENTATIONS,5.48,1.0,0.03,3,True,3
L26,5.48,3.0,0.1,9,True,3
MIGRATION,5.48,1.0,0.03,3,True,3
IMPACTS,5.48,1.0,0.03,3,True,3
DETERMINANTS,5.46,6.0,0.35,23,True,7
STUDENTS,5.29,6.5,0.39,25,True,7
EDUCATION,5.27,8.0,0.45,30,True,6
CHINA,5.26,3.0,0.19,12,True,6
SCIENCE,5.19,3.0,0.13,10,True,4
LITERATURE REVIEW,5.19,3.0,0.13,10,True,4
SUSTAINABLE DIGITAL ENTREPRENEURSHIP,5.0,2.5,0.0,5,True,2
IMPACT,5.0,19.0,1.32,79,True,9
DIGITAL ENTREPRENEURIAL INTENTIONS,5.0,2.5,0.0,5,True,2
WOMEN ENTREPRENEURS,4.95,3.0,0.16,11,True,5
DIGITALIZATION,4.92,8.5,0.65,37,True,8
CAPABILITIES,4.9,6.0,0.35,23,True,5
RESOURCE-BASED VIEW,4.88,2.0,0.1,7,True,4
PRODUCT,4.88,2.0,0.1,7,True,4
DIGITAL ENTREPRENEURSHIP INTENTION,4.88,2.0,0.1,7,True,3
MARKET,4.88,2.0,0.1,7,True,4
ENTREPRENEURSHIP EDUCATION,4.84,3.5,0.26,15,True,7
DIGITAL VENTURES,4.75,1.5,0.1,6,True,5
SUSTAINABLE DEVELOPMENT,4.75,1.5,0.1,6,True,5
SUCCESS FACTORS,4.75,1.5,0.1,6,True,5
INDUSTRY,4.75,1.5,0.1,6,True,5
CAREER,4.75,1.5,0.1,6,True,5
SAUDI ARABIA,4.75,1.5,0.1,6,True,5
ECOSYSTEM,4.74,4.5,0.39,21,True,9
INFORMATION,4.67,7.5,0.61,34,True,7
INNOVATION,4.64,42.0,3.74,200,True,10
ENTREPRENEURIAL ORIENTATION,4.63,5.5,0.32,21,True,5
GROWTH,4.57,7.5,0.55,32,True,8
DIGITAL TRANSFORMATION,4.56,9.5,0.77,43,True,8
ADOPTION,4.45,5.0,0.39,22,True,6
ANTECEDENTS,4.45,2.0,0.13,8,True,5
DIGITAL ENTREPRENEURSHIP,4.39,81.5,7.26,388,True,12
MANAGEMENT,4.36,10.0,0.97,50,True,9
CREATION,4.35,11.0,0.77,46,True,7
TRANSFORMATION,4.25,9.5,0.74,42,True,6
FIRM,4.22,3.0,0.23,13,True,6
CHALLENGES,4.18,4.0,0.29,17,True,6
ORIENTATION,4.17,4.0,0.23,15,True,5
PLATFORMS,4.12,7.5,0.71,37,True,8
DIGITAL BUSINESS,4.11,2.0,0.16,9,True,6
BUSINESS MODEL,4.08,3.5,0.32,17,True,7
MEDIATING ROLE,4.08,2.5,0.16,10,True,5
PERCEPTIONS,4.06,1.5,0.06,5,True,3
BUSINESS STRATEGY,4.06,1.5,0.06,5,True,2
STRATEGIES,4.06,5.0,0.42,23,True,6
ENTREPRENEURIAL ECOSYSTEM,4.04,3.5,0.26,15,True,6
BUSINESS MODELS,4.0,11.0,1.0,53,True,7
CHATGPT ADOPTION IN ENTREPRENEURSHIP,4.0,2.0,0.0,4,True,2
YOUTH,4.0,2.0,0.0,4,True,2
EXPLORATION,4.0,2.0,0.0,4,True,1
DIGITAL ENTREPRENEURIAL SELF-EFFICACY,4.0,2.0,0.0,4,True,2
VARIANCE,4.0,2.0,0.0,4,True,2
DIGITAL ORIENTATION,4.0,2.0,0.0,4,True,2
SEM,4.0,2.0,0.0,4,True,1
SOCIAL MEDIA,3.95,9.0,0.84,44,True,10
AGENDA,3.93,9.5,0.74,42,True,7
DYNAMICS,3.85,2.0,0.19,10,True,7
INTEGRATION,3.81,1.0,0.06,4,True,3
SMALL FIRMS,3.81,1.0,0.06,4,True,4
CULTURE,3.81,1.0,0.06,4,True,4
DIGITAL BUSINESS MODEL,3.81,1.0,0.06,4,True,4
FLEXIBILITY,3.81,1.0,0.06,4,True,3
SELF-EMPLOYMENT,3.81,1.0,0.06,4,True,4
VIRTUAL REALITY,3.81,1.0,0.06,4,True,3
CAPABILITY,3.81,2.0,0.13,8,True,4
PERCEIVED USEFULNESS,3.81,1.0,0.06,4,True,4
ENTREPRENEURIAL PERFORMANCE,3.81,1.0,0.06,4,True,4
ISSUES,3.81,1.0,0.06,4,True,3
LEGITIMACY,3.81,1.0,0.06,4,True,4
EXPERIMENTATION,3.81,1.0,0.06,4,True,4
IDENTIFICATION,3.81,1.0,0.06,4,True,3
MOTIVATIONS,3.81,1.0,0.06,4,True,4
NETWORKING,3.81,1.0,0.06,4,True,3
DIGITAL MARKETING,3.81,1.0,0.06,4,True,4
WORK,3.81,5.0,0.39,22,True,5
BUSINESS MODEL INNOVATION,3.78,3.5,0.29,16,True,6
DIGITAL ENTREPRENEURIAL ECOSYSTEM,3.75,2.5,0.23,12,True,6
MODEL,3.75,7.5,0.68,36,True,7
SMALL BUSINESS,3.6,1.5,0.1,6,True,4
TECHNOLOGY,3.6,17.0,1.81,90,True,9
INNOVATION PERFORMANCE,3.6,1.5,0.1,6,True,4
SUPPORT,3.6,1.5,0.1,6,True,4
COMPETITIVE ADVANTAGE,3.6,1.5,0.1,6,True,4
CONTEXT,3.6,1.5,0.1,6,True,4
BLOCKCHAIN,3.6,1.5,0.1,6,True,3
SOCIAL CAPITAL,3.6,1.5,0.1,6,True,4
LABOR,3.6,1.5,0.1,6,True,3
FIRM PERFORMANCE,3.58,4.0,0.32,18,True,6
FIRMS,3.52,4.5,0.42,22,True,8
SUSTAINABILITY,3.48,4.0,0.39,20,True,6
NETWORKS,3.44,4.0,0.42,21,True,8
PERFORMANCE,3.41,15.5,1.71,84,True,9
ENTREPRENEURIAL ECOSYSTEMS,3.38,2.0,0.19,10,True,6
BUSINESS,3.38,14.5,1.45,74,True,7
FUTURE,3.27,3.0,0.32,16,True,7
DIGITAL ENTREPRENEUR,3.26,1.5,0.13,7,True,5
DIGITAL STARTUPS,3.26,1.5,0.13,7,True,5
HOSPITALITY,3.26,1.5,0.13,7,True,5
ENTREPRENEURSHIP,3.26,25.5,2.74,136,True,10
ECONOMIC GROWTH,3.26,1.5,0.13,7,True,5
STRATEGY,3.24,5.0,0.58,28,True,8
INTENTION,3.22,2.5,0.23,12,True,5
DISCOVERY,3.21,2.0,0.16,9,True,5
MEDIA,3.21,2.0,0.16,9,True,5
METHODOLOGY,3.21,2.0,0.16,9,True,5
SYSTEMATIC LITERATURE REVIEW,3.13,2.5,0.19,11,True,5
VENTURE CREATION,3.13,2.5,0.26,13,True,6
KNOWLEDGE,3.12,7.0,0.87,41,True,9
EMPOWERMENT,3.06,1.0,0.1,5,True,4
ECONOMIC-GROWTH,3.06,1.0,0.1,5,True,5
RESEARCH AGENDA,3.06,1.0,0.1,5,True,5
ABSORPTIVE-CAPACITY,3.06,1.0,0.1,5,True,4
DIVERSITY,3.06,1.0,0.1,5,True,4
SOUTH AFRICA,3.06,1.0,0.1,5,True,5
DIGITAL PLATFORM,3.06,1.0,0.1,5,True,4
DIGITAL STARTUP,3.06,1.0,0.1,5,True,5
INSTITUTIONAL THEORY,3.06,1.0,0.1,5,True,5
SYSTEMS,3.06,4.0,0.45,22,True,8
FEMALE ENTREPRENEURS,3.06,1.0,0.1,5,True,5
ENTREPRENEURIAL EDUCATION,3.0,1.5,0.0,3,True,2
FEMALE,3.0,1.5,0.0,3,True,2
E-COMMERCE,3.0,4.0,0.52,24,True,8
O30,3.0,1.5,0.0,3,True,2
INDIA,3.0,1.5,0.0,3,True,1
M13,3.0,1.5,0.0,3,True,2
ENVIRONMENTAL DYNAMISM,3.0,1.5,0.0,3,True,2
MARKETING ACTIVITIES,3.0,1.5,0.0,3,True,2
ENTREPRENEURSHIP ECOSYSTEM,3.0,1.5,0.0,3,True,1
SYSTEM,3.0,1.5,0.0,3,True,2
DIGITAL START-UP PIVOTING,3.0,1.5,0.0,3,True,2
SUBJECTIVE NORMS,3.0,1.5,0.0,3,True,1
TECHNOSTRESS,3.0,1.5,0.0,3,True,1
DIGITAL SELF-EFFICACY,3.0,1.5,0.0,3,True,2
BUSINESS PROCESS MANAGEMENT,3.0,1.5,0.0,3,True,2
INFORMATION-SYSTEMS,2.96,5.5,0.58,29,True,7
PERSPECTIVE,2.87,12.0,1.52,71,True,9
COVID-19,2.87,2.5,0.23,12,True,5
INFORMATION-TECHNOLOGY,2.84,3.0,0.42,19,True,8
DIGITAL ECOSYSTEM,2.79,1.5,0.13,7,True,3
WOMEN,2.78,3.0,0.39,18,True,8
SUCCESS,2.78,3.0,0.39,18,True,8
ENTERPRISE,2.7,2.0,0.23,11,True,6
INTERNET,2.68,3.5,0.55,24,True,10
FEMINISM,2.65,0.5,0.03,2,True,2
INTELLECTUAL CAPITAL,2.65,0.5,0.03,2,True,2
DIGITAL ENTREPRENEURIAL ECOSYSTEMS,2.65,0.5,0.03,2,True,2
STREAMING,2.65,0.5,0.03,2,True,2
INFRASTRUCTURE,2.65,0.5,0.03,2,True,2
STRATEGIC FLEXIBILITY,2.65,0.5,0.03,2,True,2
ONLINE COURSES,2.65,0.5,0.03,2,True,2
NETNOGRAPHY,2.65,0.5,0.03,2,True,2
REGRESSION ANALYSIS,2.65,0.5,0.03,2,True,2
NEOLIBERALISM,2.65,0.5,0.03,2,True,2
DEVELOPING-COUNTRIES,2.65,1.0,0.06,4,True,3
WOMEN EMPOWERMENT,2.65,0.5,0.03,2,True,2
SOCIOLOGY,2.65,0.5,0.03,2,True,2
REVIEW,2.65,0.5,0.03,2,True,2
TAM,2.65,0.5,0.03,2,True,2
MAKERSPACES,2.65,0.5,0.03,2,True,2
DIGITAL INTERNATIONALIZATION,2.65,0.5,0.03,2,True,2
GROWTH HACKING,2.65,0.5,0.03,2,True,2
DELPHI STUDY,2.65,0.5,0.03,2,True,2
COOPETITION,2.65,0.5,0.03,2,True,2
VISIBILITY,2.65,0.5,0.03,2,True,2
SDGS,2.65,0.5,0.03,2,True,2
INTERNET OF THINGS,2.65,0.5,0.03,2,True,2
ORGANIZATIONAL RESILIENCE,2.65,0.5,0.03,2,True,2
EMPLOYEES,2.65,0.5,0.03,2,True,2
CAPACITY,2.65,0.5,0.03,2,True,2
SENSEMAKING,2.65,0.5,0.03,2,True,2
SURVIVAL,2.65,0.5,0.03,2,True,2
ENTREPRENEURIAL JOURNEY,2.65,0.5,0.03,2,True,2
ENTREPRENEURSHIP MINDSET,2.65,0.5,0.03,2,True,2
DESIGN THINKING,2.65,0.5,0.03,2,True,2
PRODUCTIVITY,2.65,0.5,0.03,2,True,2
USER ENTREPRENEURSHIP,2.65,0.5,0.03,2,True,2
EFFICIENCY,2.65,0.5,0.03,2,True,2
CALL,2.65,0.5,0.03,2,True,2
REFLECTIONS,2.65,0.5,0.03,2,True,2
COMMUNICATION TECHNOLOGY,2.65,0.5,0.03,2,True,2
IMPLEMENTATION,2.65,0.5,0.03,2,True,2
ELECTRONIC COMMERCE,2.65,0.5,0.03,2,True,2
DIGITAL ORGANIZATIONAL CULTURE,2.65,0.5,0.03,2,True,2
CAPTURING VALUE,2.65,0.5,0.03,2,True,2
MARKETS,2.65,0.5,0.03,2,True,2
USER ENGAGEMENT,2.65,0.5,0.03,2,True,2
THINGS,2.65,0.5,0.03,2,True,2
ANGELS,2.65,0.5,0.03,2,True,2
ICT SKILLS,2.65,0.5,0.03,2,True,2
INTERNET ENTREPRENEURSHIP,2.65,0.5,0.03,2,True,2
DIGITAL ENTREPRENEURIAL ALERTNESS,2.65,0.5,0.03,2,True,2
SERVITIZATION,2.65,0.5,0.03,2,True,2
SELF-PERCEIVED CREATIVITY,2.65,0.5,0.03,2,True,2
VIEW,2.65,0.5,0.03,2,True,2
ENTERPRISES,2.65,0.5,0.03,2,True,2
PARTIAL LEAST-SQUARES,2.65,0.5,0.03,2,True,2
MUSIC,2.65,0.5,0.03,2,True,2
DIGITAL SKILLS,2.65,0.5,0.03,2,True,2
IMMIGRANT ENTREPRENEURSHIP,2.65,0.5,0.03,2,True,2
COMMUNITIES,2.65,0.5,0.03,2,True,2
TRAINING,2.65,0.5,0.03,2,True,2
SECTOR,2.65,0.5,0.03,2,True,2
SOCIAL SUSTAINABILITY,2.65,0.5,0.03,2,True,2
COLLECTIVE ACTION,2.65,0.5,0.03,2,True,2
UNEMPLOYMENT,2.65,0.5,0.03,2,True,2
CUSTOMER SATISFACTION,2.65,0.5,0.03,2,True,2
INTELLECTUAL PROPERTY,2.65,0.5,0.03,2,True,2
CAREER REASONS,2.65,0.5,0.03,2,True,2
DIGITAL SOCIAL ENTREPRENEURSHIP,2.65,0.5,0.03,2,True,2
RESPONSES,2.65,0.5,0.03,2,True,2
WECHAT,2.65,0.5,0.03,2,True,2
DIGITAL MARKET OFFERING,2.65,0.5,0.03,2,True,2
FINANCE,2.65,0.5,0.03,2,True,2
MICROFOUNDATIONS,2.65,0.5,0.03,2,True,2
SYSTEM DYNAMICS,2.65,0.5,0.03,2,True,2
MIGRANT,2.65,0.5,0.03,2,True,2
INNOVATION ECOSYSTEMS,2.65,0.5,0.03,2,True,2
O31,2.65,0.5,0.03,2,True,2
REGULATORY ENVIRONMENT,2.65,0.5,0.03,2,True,2
GREEN INNOVATION,2.65,0.5,0.03,2,True,2
CITY,2.65,1.0,0.06,4,True,3
GLOBALISATION,2.65,0.5,0.03,2,True,2
TOOL,2.65,0.5,0.03,2,True,2
UNIVERSITY-STUDENTS,2.65,0.5,0.03,2,True,2
DIGITAL PLATFORM ECONOMY,2.65,0.5,0.03,2,True,2
MICROFINANCE,2.65,0.5,0.03,2,True,2
BIBLIOMETRICS,2.65,0.5,0.03,2,True,2
HELIX,2.65,0.5,0.03,2,True,2
REPUTATION,2.65,1.0,0.06,4,True,2
ENTREPRENEURIAL MARKETING,2.65,0.5,0.03,2,True,2
INITIAL COIN OFFERINGS,2.65,0.5,0.03,2,True,2
ORGANIZATIONAL PERFORMANCE,2.65,0.5,0.03,2,True,2
ADVANCING DEBATE,2.65,0.5,0.03,2,True,2
CRITICAL REALISM,2.65,0.5,0.03,2,True,2
GUEST EDITORS INTRODUCTION,2.65,0.5,0.03,2,True,2
CREATIVE ENTREPRENEURSHIP,2.65,0.5,0.03,2,True,2
PERCEIVED EASE OF USE,2.65,0.5,0.03,2,True,2
PSYCHOLOGICAL CHARACTERISTICS,2.65,0.5,0.03,2,True,2
STORIES,2.65,0.5,0.03,2,True,2
NOSTALGIA,2.65,0.5,0.03,2,True,2
TECHNOLOGY ORIENTATION,2.65,0.5,0.03,2,True,2
EXTENSION,2.65,0.5,0.03,2,True,2
CREATE VALUE,2.65,0.5,0.03,2,True,2
INFLUENCER MARKETING,2.65,0.5,0.03,2,True,2
TRANSITION,2.65,0.5,0.03,2,True,2
DIGITAL COMPETENCE,2.65,1.0,0.06,4,True,3
SOCIAL CAPITAL THEORY,2.65,0.5,0.03,2,True,2
NETWORK CAPABILITY,2.65,0.5,0.03,2,True,2
TRANSFORMATIONAL LEADERSHIP,2.65,0.5,0.03,2,True,2
CORPORATE DIGITAL ENTREPRENEURSHIP,2.65,0.5,0.03,2,True,2
INSTITUTIONAL SUPPORT,2.65,0.5,0.03,2,True,2
ENVIRONMENTS,2.65,0.5,0.03,2,True,2
FINANCIAL LITERACY,2.65,0.5,0.03,2,True,2
PLATFORM,2.65,1.0,0.06,4,True,2
UBUNTU,2.65,0.5,0.03,2,True,2
CURRICULUM DESIGN,2.65,0.5,0.03,2,True,2
LEGACY TECHNOLOGIES,2.65,0.5,0.03,2,True,2
NEW VENTURE PERFORMANCE,2.65,0.5,0.03,2,True,2
EMERGING MARKETS,2.65,0.5,0.03,2,True,2
NIGERIA,2.65,0.5,0.03,2,True,2
DIGITAL UBUNTU,2.65,0.5,0.03,2,True,2
YOUNG ENTREPRENEURS,2.65,0.5,0.03,2,True,2
TOURISM ENTREPRENEURSHIP,2.65,0.5,0.03,2,True,2
PSYCHOLOGICAL CAPITAL,2.65,0.5,0.03,2,True,2
MATURITY MODEL,2.65,0.5,0.03,2,True,2
BUSINESS FORMATION,2.65,0.5,0.03,2,True,2
TECHNOLOGY ACCEPTANCE,2.65,0.5,0.03,2,True,2
SUPPLY CHAIN,2.65,0.5,0.03,2,True,2
RESOURCE MOBILIZATION,2.65,0.5,0.03,2,True,2
GREEN,2.65,0.5,0.03,2,True,2
THEMATIC ANALYSIS,2.65,0.5,0.03,2,True,2
WOMEN'S ENTREPRENEURSHIP,2.65,0.5,0.03,2,True,2
OPTIONS,2.65,0.5,0.03,2,True,2
OCCUPATIONS,2.65,0.5,0.03,2,True,2
JOBS,2.65,0.5,0.03,2,True,2
DECISIONS,2.65,0.5,0.03,2,True,2
CHAIN,2.65,0.5,0.03,2,True,2
PERSONALITY,2.65,0.5,0.03,2,True,2
DIGITAL STRATEGY,2.65,0.5,0.03,2,True,2
ECONOMIC RESILIENCE,2.65,0.5,0.03,2,True,2
REVIEWS,2.65,0.5,0.03,2,True,2
NEW VENTURE CREATION,2.65,0.5,0.03,2,True,2
CO-WORD ANALYSIS,2.65,0.5,0.03,2,True,2
MOVEMENT,2.65,0.5,0.03,2,True,2
DIGITAL TECHNOLOGY,2.63,3.5,0.39,19,True,6
INSTITUTIONAL ENTREPRENEURSHIP,2.6,1.0,0.13,6,True,5
TRUST,2.6,1.5,0.16,8,True,4
SATISFACTION,2.6,1.0,0.13,6,True,6
COMPANIES,2.6,1.0,0.13,6,True,6
DECISION-MAKING,2.6,1.0,0.13,6,True,6
BIG DATA,2.6,2.0,0.26,12,True,6
POLICY,2.54,2.5,0.32,15,True,7
DIGITAL,2.51,2.0,0.29,13,True,7
ECONOMY,2.48,1.5,0.13,7,True,4
VENTURES,2.43,2.0,0.26,12,True,6
ORGANIZATION,2.37,2.0,0.23,11,True,5
BIG DATA ANALYTICS,2.33,1.5,0.16,8,True,5
STRATEGIC MANAGEMENT,2.32,1.0,0.1,5,True,4
EMPIRICAL-EVIDENCE,2.32,1.0,0.1,5,True,4
COMPETITIVENESS,2.32,1.0,0.1,5,True,3
PRODUCT INNOVATION,2.32,1.0,0.1,5,True,3
VALUE CO-CREATION,2.32,1.0,0.1,5,True,4
SHARING ECONOMY,2.24,2.0,0.23,11,True,5
OPPORTUNITY,2.21,2.5,0.42,18,True,9
CROWDFUNDING,2.21,1.5,0.19,9,True,5
FIELD,2.19,1.5,0.26,11,True,8
CORPORATE ENTREPRENEURSHIP,2.17,2.0,0.26,12,True,6
FRAMEWORK,2.15,3.5,0.42,20,True,5
COVID-19 PANDEMIC,2.07,1.0,0.13,6,True,4
BOUNDARY RESOURCES,2.07,1.0,0.13,6,True,5
STARTUPS,2.07,1.0,0.13,6,True,5
ENVIRONMENT,2.03,1.5,0.19,9,True,5
TECHNOLOGY ACCEPTANCE MODEL,2.03,1.5,0.19,9,True,5
BRAZIL,2.0,1.0,0.0,2,False,1
UTAUT,2.0,1.0,0.0,2,False,2
INTERNET OF THINGS (IOT),2.0,1.0,0.0,2,False,1
THE SOCIAL COGNITIVE CAREER THEORY,2.0,1.0,0.0,2,False,2
REMOTE WORK,2.0,1.0,0.0,2,False,2
BIBLIOMETRIC REVIEW,2.0,1.0,0.0,2,False,2
ARTISAN ENTREPRENEURSHIP,2.0,1.0,0.0,2,False,2
WEB OF SCIENCE,2.0,1.0,0.0,2,False,1
PERFORMANCE EXPECTANCY,2.0,1.0,0.0,2,False,1
INDONESIA,2.0,1.0,0.0,2,False,2
SOCIAL MEDIA ADOPTION,2.0,1.0,0.0,2,False,1
CHATGPT,2.0,1.0,0.0,2,False,1
USAGE,2.0,1.0,0.0,2,False,1
ORGANIZATIONAL AMBIDEXTERITY,2.0,1.0,0.0,2,False,2
DATA SCIENCE,2.0,1.0,0.0,2,False,1
VARIABLES,2.0,1.0,0.0,2,False,2
DIGITAL PLATFORM ECONOMY INDEX,2.0,1.0,0.0,2,False,2
RESOURCE BRICOLAGE,2.0,1.0,0.0,2,False,1
EXPLORATORY FACTOR-ANALYSIS,2.0,1.0,0.0,2,False,1
SOCIAL MEDIA USE,2.0,1.0,0.0,2,False,1
MARKETING,2.0,1.0,0.0,2,False,1
SAMPLE-SIZE,2.0,1.0,0.0,2,False,2
SELF-PRESENTATION,2.0,1.0,0.0,2,False,2
"BUSINESS, MANAGEMENT AND ACCOUNTING",2.0,1.0,0.0,2,False,2
IMPRESSION MANAGEMENT,2.0,1.0,0.0,2,False,2
ANALYTICS,2.0,1.0,0.0,2,False,2
CHILDREN,2.0,1.0,0.0,2,False,1
AIRBNB,2.0,1.0,0.0,2,False,2
FINANCIAL PERFORMANCE,2.0,1.0,0.0,2,False,1
CIRCULAR ECONOMY,2.0,1.0,0.0,2,False,1
STRATEGIC CHANGE,2.0,1.0,0.0,2,False,2
AUGMENTED REALITY,2.0,1.0,0.0,2,False,2
EXPLOITATION,2.0,1.0,0.0,2,False,1
DIVERSIFICATION,2.0,1.0,0.0,2,False,2
COGNITIVE CAREER THEORY,2.0,1.0,0.0,2,False,1
DIGITAL ENTREPRENEURSHIP MOTIVATION,2.0,1.0,0.0,2,False,2
AFFORDANCE,2.0,1.0,0.0,2,False,1
BIBLIOGRAPHIC COUPLING,2.0,1.0,0.0,2,False,1
CROWDSOURCING/CROWDFUNDING,2.0,1.0,0.0,2,False,2
GENDER DIFFERENCES,2.0,1.0,0.0,2,False,1
LEARNING,2.0,1.0,0.0,2,False,2
VALIDITY,2.0,1.0,0.0,2,False,2
LATIN AMERICA,2.0,1.0,0.0,2,False,1
QUALITATIVE METHODS,2.0,1.0,0.0,2,False,1
ONLINE EDUCATION,2.0,1.0,0.0,2,False,2
PERCEIVED DESIRABILITY,2.0,1.0,0.0,2,False,1
